Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19901.210000000003,238814.52,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Application Load Balancer,0,1200.85,14410.20,USD,,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),,VPN Connection,0,365,4380.00,USD,,"Working days per month (30), Number of Site-to-Site VPN Connections (10)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,6727.68,80732.16,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (m5.4xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,10901.119999999999,130813.44,USD,,"Storage amount (2 TB), Storage volume (General Purpose SSD (gp2)), Nodes (4), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,S3 Standard,0,706.56,8478.72,USD,,S3 Standard storage (30 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
